0	1	date
-91.8318334	37.9642529	1920
-77.09098089999999	38.8816208	2886
-95.712891	37.09024	4116
-104.990251	39.7392358	10180
-95.712891	37.09024	1303
-1.5490774	53.8007554	8046
-105.937799	35.6869752	6679
-83.985	42.43472	6355
-95.712891	37.09024	2004
-82.92906959999999	40.1261743	56
-74.167924	41.3420381	10135
-119.4179324	36.778261	11868
-95.712891	37.09024	11025
-122.1141298	37.3852183	3841
-81.5157535	27.6648274	9389
-96.79698789999999	32.7766642	13090
-81.5157535	27.6648274	3563
-85.6602058	30.1588129	12004
-95.712891	37.09024	613
-75.1652215	39.9525839	11724
-117.7890854	33.7138183	12863
-71.9994067	41.083151	11223
-74.0059413	40.7127837	7812
-104.6188944	50.4452112	3783
-98.32529319999999	26.2159066	13178
-87.7391935	39.0053201	8681
-118.2436849	34.0522342	11084
-111.7256936	33.6042079	1004
-89.3985283	40.6331249	11678
-74.0059413	40.7127837	4196
77.7659498	27.9835165	12826
-81.5157535	27.6648274	9906
-3.435973	55.378051	65
-77.4360481	37.5407246	10969
-82.4542632	27.0997775	7643
-92.6896184	47.85241810000001	463
-86.158068	39.768403	12357
-87.3770419	44.8341639	10255
-110.3625658	46.8796822	10362
-81.0348144	34.0007104	6314
-82.9000751	32.1656221	2880
-74.0059413	40.7127837	13274
-122.4559599	38.2937679	10792
-79.3831843	43.653226	6235
-75.63740829999999	40.3337075	1032
178.065032	-17.713371	6109
-75.69719309999999	45.4215296	5004
-106.7333599	34.806166	12272
37.6173	55.755826	5807
-75.3878525	43.3447295	9386
-122.6706498	45.42067489999999	689
-87.8443151	42.2791365	13298
-95.712891	37.09024	9781
-121.6219177	39.7596061	3545
-118.1047866	33.7414064	11407
-94.6858998	46.729553	9805
-78.8783689	42.88644679999999	9214
-73.9441579	40.6781784	1564
-74.0059413	40.7127837	10706
-118.2702036	34.0869409	5233
-83.7802214	42.5294773	490
-80.13731740000001	26.1224386	8633
-86.7816016	36.1626638	10200
-80.17564809999999	33.0185039	314
-122.6764816	45.5230622	832
-95.712891	37.09024	835
-71.25032569999999	41.60232449999999	3364
